Subject,Question,A,B,D,C,E,I,F
Biology,An anti-forest measure is,Afforestation,"Selective grazing
C . Clearing forest",Selective felling,,,,
Biology,"In recent year, there has been a growing
concern about the gradually increasing average global temperatures. If this trend continues, would you expert the distributional range of some species to be affected?",,,,,,,
Biology,Fern plants reproduce by,Seeds,Spores,Giving birth to young fern plants,Laying eggs,,,
Biology,Write an essay on growth regulation in plants.,,,,,,,
Biology,What is the function of pericardial fluid and where is it found?,,,,,,,
Biology,"In onion root tip during mitotic metaphase, the number of kinetochores
is
\( A \cdot 4 \)",,"64
\( c \cdot 32 \)",16,,,,
Biology,"In rabbit and humans, the kidney is",Metanephric,Mesonephric,Opisthonephric,Pronephric,,,
Biology,Snake's venom is,Alkaline in reaction,Acidic in reaction,Acidic and rich fatty acids,Alkaline and rich fatty acids,,,
Biology,"Fill in the blanks with appropriate
words.

Urine is carried from the kidneys by \( _{\text {. ............ to the urinary bladder. }} \)",,,,,,,
Biology,Hydra reproduces by budding. This is an example of,Asexual reproduction,Sexual reproduction,Parthenocarpy,Regeneration,,,
Biology,"Why does bread mould grow profusely on a moist slice of bread rather than on
a dry slice of bread?",,,,,,,
Biology,"Percentage of water present in oceans
and seas is",\( 60 \% \),"70\%
\( c \cdot 80 \% \)",95 \%,,,,
Biology,"If a plant cell is placed in deionised
water, the water potential of that cell
becomes",More positive because pressure potential becomes more positive,More positive because pressure potential becomes more negative,Less negative because pressure potential becomes more positive,More negative because pressure potential becomes more negative,,,
Biology,Hemoglobin in the RBCs helps in the,Transport of oxygen,Transport of nutrients,Both A and C,Transport of carbon dioxide,,,
Biology,"Adrenaline is equivalent to which neurotransmitter?
\( A \cdot \) GABA",,Serotonin,None of the abaov,Epinephrine,,,
Biology,"In male grasshoppers and moths, there are two pairs of autosomes and",\( x \) only,x and,None of the above,Y only,,,
Biology,"consider the following statements each with one or two blanks.
(i) The ascending limb of loop of Henle is impermeable to (1) but allows transport of (2)
(ii) (3) and
(4) play a significant role in producing a concentrated urine.
(iii) A fall in glomerular blood flow/glomerular blood pressure/GFR can activate the JG cells to release (5)
Which one of the following options correctly fills the blanks in any two of the statements?","(1)-water, (2)-electrolytes, (5)-renin","(3)-Henle's loop, (4)-vasa recta,
(5)-angiotensin","(3)-Henle's loop, (4)-vasa recta, (5)-angiotensinogen","(1)-electrolytes,
(2)-water,
\( (3)- \) РСТ, \( (4)- \) DCT",,,
Biology,"Cork is used for insulation and acts as
shock absorber because",It is porous,It is very hard,The cells of cork are living,It is light and does not catch fire easily,,,
Biology,"Q Type your question. \( \sqrt{0} \) "" \( y \)
\( \mathbf{A} \)
\( B \cdot 2 \)
\( c \cdot 3 \)
\( D \cdot 4 \)",,,,,None of the above,,
Biology,"Assertion
Double circulation is incomplete in amphibians and reptiles
Reason
Unlike in birds and mammals, in amphibian and reptiles, the left atrium receives oxygenated blood and right atrium receives deoxygenated blood.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"I. Increase in mass II. Differentiation III.
Increase in number of individuals. IV.
Response to stimuli Which two points are known as the twin characteristics of growth?
A . I and II",,II and IV,I and III,II and III,,,
Biology,A spinal nerve takes nerve impulses:,to the CNS,"away from the cNS
\( c . \) both to and away from the cNS",only inside the cNS,,,,
Biology,"In Drosophila, the Y-chromosome does
not determine maleness but is
necessary for fertility.",True,False,,,,,
Biology,"ICBN was adopted in
A . 1951",,1971,1981,196,,,
Biology,"Which of the following organisms show
mixotrophic nutrition?
\( A \)",,\( c \),Both B and C,,,,
Biology,"topp 5
\( Q \) туре уочт question
(B)
\( (\mathrm{C}) \)
\( (D) \)
(E)",,,,,,,
Biology,The only plant cells without nucleus among the following is,Cambium cells,Root hair,Xylem vessels,companion cells,,,
Biology,Which of the following characteristics can be related to cartilaginous joints?,Permit slight movements,Are found between the bodies of vertebrae,All of the above,Are found in symphysis,,,
